,title,address,date_added,bed,bath,toilet,price
1052,5 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,...Magodo Gra Phase 2 Kosofe Ikosi Lagos,"Updated 17 Nov 2020, Added 16 Oct 2020",5 beds,5 baths,6 Toilets,"5,000,000"
1053,5 BEDROOM DETACHED DUPLEX HOUSE FOR RENT,Ikeja GRA.Lagos MainlandIkeja Gra Ikeja Lagos,"Updated 17 Nov 2020, Added 09 Aug 2020",5 beds,5 baths,6 Toilets,"12,000,000"
1054,4 BEDROOM FLAT / APARTMENT FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 29 Sep 2020",4 beds,3 baths,4 Toilets,"4,700,000"
1055,2 BEDROOM FLAT / APARTMENT FOR RENT,Badore Ajah Lagos,"Updated 17 Nov 2020, Added 17 Sep 2020",2 beds,2 baths,Toilets,"900,000"
1056,COMMERCIAL PROPERTY FOR RENT,...Aminu Kano Crescent Wuse 2 Abuja,"Updated 17 Nov 2020, Added 25 Jul 2020",beds,baths,3 Toilets,"6,500,000/year"
1057,3 BEDROOM FLAT / APARTMENT FOR RENT,...Shomolu Lagos,"Updated 17 Nov 2020, Added 03 Nov 2020",3 beds,0 baths,0 Toilets,"1,000,000"
1058,COMMERCIAL PROPERTY FOR RENT,Palmgroove Shomolu Lagos,"Updated 17 Nov 2020, Added 14 Oct 2020",beds,baths,Toilets,"1,500,000"
1059,5 BEDROOM DETACHED DUPLEX HOUSE FOR RENT,...Yaba Lagos,"Updated 17 Nov 2020, Added 21 Sep 2020",5 beds,0 baths,0 Toilets,"5,000,000"
1060,2 BEDROOM FLAT / APARTMENT FOR RENT,Toyin Street Ikeja Lagos,"Updated 17 Nov 2020, Added 13 Nov 2020",2 beds,2 baths,3 Toilets,"1,200,000"
1061,3 BEDROOM FLAT / APARTMENT FOR RENT,Omole Phase 1 Ojodu Lagos,"Updated 17 Nov 2020, Added 11 Nov 2020",3 beds,3 baths,3 Toilets,"1,500,000"
1062,2 BEDROOM FLAT / APARTMENT FOR RENT,Ikate Lekki Lagos,"Updated 17 Nov 2020, Added 23 Sep 2020",2 beds,2 baths,3 Toilets,"2,500,000"
1063,3 BEDROOM FLAT / APARTMENT FOR RENT,Ahmadu Bello Way Victoria Island Lagos,"Updated 17 Nov 2020, Added 31 Oct 2019",3 beds,baths,Toilets,"15,000,000"
1064,2 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 13 Oct 2019",2 beds,baths,Toilets,"7,000,000"
1065,5 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Parkview Estate Ikoyi Lagos,"Updated 17 Nov 2020, Added 24 Oct 2020",5 beds,5 baths,6 Toilets,"6,000,000"
1066,COMMERCIAL LAND LAND FOR SALE,"Fountain springville Estate, Sangotedo, lagos. Sangotedo Lagos","Updated 18 Nov 2020, Added 15 Sep 2020",beds,baths,Toilets,"450,000,000"
1067,4 BEDROOM FLAT / APARTMENT FOR RENT,Victoria Island Lagos,"Updated 17 Nov 2020, Added 31 Oct 2019",4 beds,baths,Toilets,"16,000,000"
1068,FLAT / APARTMENT FOR RENT,Shomolu Shomolu Lagos,"Updated 17 Nov 2020, Added 04 Nov 2020",beds,3 baths,Toilets,"1,000,000"
1069,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,OffBourdillon Ikoyi Lagos,"Updated 17 Nov 2020, Added 06 Sep 2020",4 beds,4 baths,5 Toilets,"12,000,000"
1070,4 BEDROOM PENTHOUSE FLAT / APARTMENT FOR RENT,Victoria Island Lagos,"Updated 17 Nov 2020, Added 04 Nov 2019",4 beds,baths,Toilets,"36,000,000"
1071,2 BEDROOM FLAT / APARTMENT FOR RENT,Maryland Lagos,"Updated 17 Nov 2020, Added 24 Oct 2020",2 beds,baths,Toilets,"1,200,000"
1072,4 BEDROOM PENTHOUSE FLAT / APARTMENT FOR RENT,Ikoyi Lagos,"Updated 17 Nov 2020, Added 25 Jun 2020",4 beds,4 baths,5 Toilets,"35,000,000"
1073,OFFICE SPACE COMMERCIAL PROPERTY FOR RENT,Ikoyi Lagos,"Updated 17 Nov 2020, Added 06 Sep 2020",beds,baths,Toilets,"2,007,500"
1074,3 BEDROOM FLAT / APARTMENT FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 08 Oct 2020",3 beds,3 baths,3 Toilets,"3,500,000"
1075,4 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 17 Aug 2020",4 beds,4 baths,5 Toilets,"15,000,000"
1076,3 BEDROOM FLAT / APARTMENT FOR RENT,...Omole Phase 1 Ojodu Lagos,"Updated 17 Nov 2020, Added 16 Oct 2020",3 beds,3 baths,4 Toilets,"2,200,000"
1077,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Oniru Victoria Island Lagos,"Updated 17 Nov 2020, Added 21 Sep 2020",4 beds,4 baths,5 Toilets,"5,000,000"
1078,COMMERCIAL PROPERTY FOR RENT,...Aminu Kano Crescent Wuse 2 Abuja,"Updated 17 Nov 2020, Added 25 Jul 2020",beds,baths,3 Toilets,"6,500,000/year"
1079,4 BEDROOM DETACHED DUPLEX HOUSE FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 22 Dec 2019",4 beds,4 baths,4 Toilets,"7,000,000"
1080,3 BEDROOM FLAT / APARTMENT FOR RENT,Eko pearl tower Eko Atlantic Victoria Island Lagos,"Updated 17 Nov 2020, Added 15 Jun 2020",3 beds,3 baths,4 Toilets,"24,000,000"
1081,3 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 15 Oct 2019",3 beds,baths,Toilets,"6,000,000"
1082,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Chevron lekki lagos state Nigeria Chevron Lekki Lagos,"Updated 17 Nov 2020, Added 03 Sep 2020",4 beds,4 baths,4 Toilets,"3,500,000"
1083,2 BEDROOM FLAT / APARTMENT FOR RENT,Victory Estate.Lagos MainlandEjigbo Ejigbo Lagos,"Updated 17 Nov 2020, Added 21 Oct 2020",2 beds,2 baths,3 Toilets,"350,000"
1084,4 BEDROOM DETACHED DUPLEX HOUSE FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 03 Nov 2019",4 beds,baths,Toilets,"7,000,000"
1085,3 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 06 Nov 2019",3 beds,3 baths,3 Toilets,"7,500,000"
1086,4 BEDROOM DETACHED DUPLEX HOUSE FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 03 Jul 2020",4 beds,4 baths,5 Toilets,"25,000,000"
1087,HOUSE FOR RENT,Lekki phase one lekki Lagos state Nigeria Abule Egba Lagos,"Updated 17 Nov 2020, Added 19 Feb 2020",beds,baths,Toilets,"85,000,000"
1088,4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE,Ikeja Gra Ikeja GRA Ikeja Lagos,"Updated 17 Nov 2020, Added 11 Jul 2020",4 beds,4 baths,5 Toilets,"150,000,000"
1089,4 BEDROOM FLAT / APARTMENT FOR RENT,Victoria Island Lagos,"Updated 17 Nov 2020, Added 19 Nov 2019",4 beds,4 baths,4 Toilets,"18,000,000"
1090,DETACHED DUPLEX HOUSE FOR RENT,Ifako Gbagada Gbagada Lagos,"Updated 17 Nov 2020, Added 17 Sep 2020",beds,baths,Toilets,"3,000,000"
1091,3 BEDROOM FLAT / APARTMENT FOR RENT,Victoria Island Lagos,"Updated 17 Nov 2020, Added 06 Jun 2020",3 beds,3 baths,4 Toilets,"5,000,000"
1092,3 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 26 Nov 2019",3 beds,3 baths,3 Toilets,"70,000,000"
1093,5 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,-Atunrase Medina Gbagada Lagos,"Updated 17 Nov 2020, Added 30 Oct 2020",5 beds,4 baths,4 Toilets,"3,000,000"
1094,HOTEL/GUEST HOUSE COMMERCIAL PROPERTY FOR RENT,Ikeja Lagos,"Updated 17 Nov 2020, Added 20 Aug 2020",beds,baths,Toilets,"30,000,000"
1095,3 BEDROOM FLAT / APARTMENT FOR RENT,ikoyiOld Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 08 Oct 2019",3 beds,0 baths,0 Toilets,"9,000,000"
1096,4 BEDROOM DETACHED DUPLEX HOUSE FOR RENT,off glover roadOld Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 08 Nov 2019",4 beds,4 baths,4 Toilets,"20,000,000"
1097,3 BEDROOM FLAT / APARTMENT FOR RENT,-Omole Phase 1 Ojodu Lagos,"Updated 17 Nov 2020, Added 27 Oct 2020",3 beds,3 baths,4 Toilets,"2,200,000"
1098,3 BEDROOM FLAT / APARTMENT FOR RENT,Oniru Victoria Island Lagos,"Updated 17 Nov 2020, Added 21 Sep 2020",3 beds,3 baths,4 Toilets,"3,700,000"
1099,2 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 06 Nov 2019",2 beds,2 baths,2 Toilets,"6,500,000"
